well,mu,best_model,se,R2,n_obs,strain,test_temperature,block,evolution_history
b10,1.8519506193431874,gr.lagsat,0.01836139631671697,0.9970106320613166,67,WT_FLZ_2,42,1,Fluconazole evolved
b11,3.381182899412536,gr.sat,0.07554397359264406,0.9834978119945732,45,35_G11,42,1,35 evolved
b3,2.160098020576442,gr.lagsat,0.09397891930102992,0.9614887446405515,42,fRS585,42,1,fRS585
b4,2.803996996249564,gr.lagsat,0.032246949297469386,0.9972157239467861,49,WT_CASP_2,42,1,Caspofungin evolved
b5,2.3691391086740365,gr.lagsat,0.04789075534027222,0.9919819152950367,51,40_D2,42,1,40 evolved
b6,3.1086097472023537,gr.lagsat,0.06906940357685354,0.9873632103420527,56,WT_CASP_2,42,1,Caspofungin evolved
b8,5.510933198030839,gr.lagsat,0.04790730912126835,0.9981661897174342,63,40_G9,42,1,40 evolved
c10,3.4023124100188378,gr.lagsat,0.11139524052794182,0.9801794852227941,43,35_B8,42,1,35 evolved
c11,2.6572107525822624,gr.lagsat,0.10188749784024707,0.9727944130033139,44,WT_CASP_1,42,1,Caspofungin evolved
c2,2.0772380561931634,gr.lagsat,0.08874295852826036,0.9649081980533499,42,35_G5,42,1,35 evolved
c4,2.865155580196846,gr.lagsat,0.05771986582904552,0.9917527126518288,50,40_C7,42,1,40 evolved
c5,2.3684515569790765,gr.lagsat,0.10162985085509989,0.9647471797068301,42,35_G5,42,1,35 evolved
c6,3.7269093927128933,gr.lagsat,0.13861887856462507,0.9744138020773065,41,35_F4,42,1,35 evolved
c7,2.727120955503085,gr.lagsat,0.1152913783815851,0.9692649882380359,42,35_D4,42,1,35 evolved
c8,2.862058260918448,gr.sat,0.05255641776387662,0.9825746074568069,80,40_F2,42,1,40 evolved
c9,3.9473614882137342,gr.lagsat,0.04125576907709346,0.9956205290618341,79,40_D4,42,1,40 evolved
d10,3.29788479113572,gr.lagsat,0.03672855949556494,0.9940939323813689,87,40_B8,42,1,40 evolved
d11,2.5797852953087697,gr.sat,0.04856091199865703,0.9787828354895844,90,WT_CASP_2,42,1,Caspofungin evolved
d2,2.3212427777514977,gr.sat,0.03467954283794471,0.9909345814456904,63,40_B8,42,1,40 evolved
d4,3.3937160460554385,gr.lagsat,0.05374974040683811,0.9940620539421091,61,40_F2,42,1,40 evolved
d5,3.0638768027418273,gr.lagsat,0.054435619061041544,0.9931682785602294,50,40_C7,42,1,40 evolved
d6,0.872793614514496,gr.lagsat,0.012655375670117933,0.9936599327375962,55,WT_FLZ_2,42,1,Fluconazole evolved
d7,2.746470458050175,gr.lagsat,0.10873208459747635,0.9703845758046203,42,35_B6,42,1,35 evolved
d8,3.2964108272728416,gr.lagsat,0.09425356778063855,0.984616967230748,47,WT_CASP_1,42,1,Caspofungin evolved
e10,3.075338904082181,gr.lagsat,0.11643731107340705,0.9725994145365102,42,fRS585,42,1,fRS585
e2,2.2706914194899386,gr.lagsat,0.09521263375499518,0.9654487799088183,41,35_B8,42,1,35 evolved
e3,3.692417363637979,gr.lagsat,0.13493723738602234,0.9751142867867753,41,35_F4,42,1,35 evolved
e5,2.4179194047721806,gr.sat,0.035209570284822723,0.9916320770261092,61,40_D4,42,1,40 evolved
e7,3.9848165051572453,gr.lagsat,0.12996742195325706,0.9789925010403716,42,35_F4,42,1,35 evolved
e8,3.435355879211669,gr.lagsat,0.12910146799190292,0.9751580718231844,42,35_B8,42,1,35 evolved
e9,3.582499936895452,gr.sat,0.05389990029122437,0.9890475318599335,76,40_D2,42,1,40 evolved
f10,2.852800717282087,gr.sat,0.0578001712314577,0.9825585119850148,67,40_F2,42,1,40 evolved
f11,2.7541553541815342,gr.lagsat,0.11452873559385866,0.9697014751096151,42,fRS585,42,1,fRS585
f2,2.343879883235446,gr.lagsat,0.10237311253710993,0.9673032599531945,42,35_G5,42,1,35 evolved
f3,5.168605934160362,gr.lagsat,0.0534485731967789,0.9970620238509287,68,40_D4,42,1,40 evolved
f4,2.7366659290809134,gr.lagsat,0.11818626741018437,0.9701486783343489,42,35_D4,42,1,35 evolved
f5,2.3249164298694094,gr.lagsat,0.09843282011757251,0.9684937618770634,42,35_B6,42,1,35 evolved
f6,2.401050044977674,gr.sat,0.059995338512931234,0.9730861336875736,69,40_B8,42,1,40 evolved
f7,2.8616256561051965,gr.sat,0.04392521317266866,0.9918575543289418,53,40_C7,42,1,40 evolved
f8,2.9560428752567245,gr.lagsat,0.2513684476415355,0.8678592348566202,50,WT_CASP_1,42,1,Caspofungin evolved
g10,3.7636163088351324,gr.sat,0.05858028941498303,0.9891729314808427,72,40_G9,42,1,40 evolved
g2,2.331718143200584,gr.lagsat,0.0970473232719783,0.9658130521459245,41,35_G11,42,1,35 evolved
g3,0.9278448270566664,gr.sat,0.010082329472549905,0.9954229556552487,59,WT_FLZ_2,42,1,Fluconazole evolved
g4,2.631437929283223,gr.lagsat,0.09359877627489108,0.9731241212444325,42,35_B6,42,1,35 evolved
g6,2.556150337741352,gr.sat,0.04681654652842215,0.9885221447415498,50,40_D2,42,1,40 evolved
g7,3.34212218403244,gr.sat,0.05063497150421946,0.9901615498484869,67,40_G9,42,1,40 evolved
g8,3.186284318614929,gr.lagsat,0.12345702509511639,0.9726924154924615,42,35_G11,42,1,35 evolved
g9,2.6606709285008736,gr.lagsat,0.11326650612841065,0.9722918711969624,43,35_D4,42,1,35 evolved
b10,7.847038431442998,gr.lagsat,0.09863541928597744,0.9972168821709779,52,WT_FLZ_2,35,1,Fluconazole evolved
b11,8.0827314708097,gr.sat,0.17384430556358085,0.9846610159436574,49,35_G11,35,1,35 evolved
b3,8.628796053494915,gr.sat,0.17800029829855898,0.985943253819206,46,fRS585,35,1,fRS585
b4,8.749807426577757,gr.sat,0.1850293699624125,0.9853927569285569,45,WT_CASP_2,35,1,Caspofungin evolved
b5,9.858614884385746,gr.lagsat,0.14415727093107894,0.9967879548654249,46,40_D2,35,1,40 evolved
b6,11.05312170522765,gr.lagsat,0.1701774363345442,0.9962874882865541,42,WT_CASP_2,35,1,Caspofungin evolved
b8,9.17861939910385,gr.sat,0.16545874809398634,0.989670330745027,43,40_G9,35,1,40 evolved
c10,10.1572659298176,gr.lagsat,0.15257094657441042,0.9964553861603203,45,35_B8,35,1,35 evolved
c11,7.658501635816585,gr.sat,0.20181111252028577,0.9769945171925628,50,WT_CASP_1,35,1,Caspofungin evolved
c2,8.32508643217943,gr.sat,0.1653883545823852,0.9868733483767519,47,35_G5,35,1,35 evolved
c4,7.683843914826072,gr.sat,0.15787248114615365,0.9857248918079949,51,40_C7,35,1,40 evolved
c5,10.36970617543294,gr.lagsat,0.16034536330927215,0.9965133588299278,45,35_G5,35,1,35 evolved
c6,8.1443591178049,gr.sat,0.16929265243925146,0.9852343945037596,48,35_F4,35,1,35 evolved
c7,10.249936740142479,gr.lagsat,0.15579861289867686,0.9962928425184148,45,35_D4,35,1,35 evolved
